index,package_cycles,dram_cycles,package_ms,dram_ms
294,2879350,1414680,1.439675,0.70734
295,1728178,2708056,0.864089,1.354028
296,1630910,1527634,0.815455,0.763817
297,1498020,2489150,0.74901,1.244575
298,2595320,1522518,1.29766,0.761259
299,1453446,2587822,0.726723,1.293911
300,3054204,1695640,1.527102,0.84782
301,1580456,1562370,0.790228,0.781185
302,1685016,2629486,0.842508,1.314743
303,2640108,1477768,1.320054,0.738884
304,1525870,2530196,0.762935,1.265098
305,1639992,1361540,0.819996,0.68077
306,2441544,2727778,1.220772,1.363889
307,1409386,1607152,0.704693,0.803576
308,2591608,1462930,1.295804,0.731465
309,1394816,3257424,0.697408,1.628712
310,3170500,1571320,1.58525,0.78566
311,1742612,1533666,0.871306,0.766833
312,1753732,1807770,0.876866,0.903885
313,1712862,2794812,0.856431,1.397406
314,1737598,1869980,0.868799,0.93499
315,2846640,1748704,1.42332,0.874352
316,1500918,1572914,0.750459,0.786457
317,1694562,2523738,0.847281,1.261869
318,2827976,2001316,1.413988,1.000658
319,1522464,1569244,0.761232,0.784622
320,1644422,2694262,0.822211,1.347131
321,2662200,1626944,1.3311,0.813472
322,1458972,2511766,0.729486,1.255883
323,2832348,1622876,1.416174,0.811438
324,1543840,1537204,0.77192,0.768602
325,1890544,2710444,0.945272,1.355222
326,1714790,1680876,0.857395,0.840438
327,2741756,1686170,1.370878,0.843085
328,1617500,2652220,0.80875,1.32611
329,1433458,1678278,0.716729,0.839139
330,2872880,1572382,1.43644,0.786191
331,1346972,2568604,0.673486,1.284302
332,2828780,1513296,1.41439,0.756648
333,1521206,2562984,0.760603,1.281492
334,1424412,1633778,0.712206,0.816889
335,2503160,1489890,1.25158,0.744945
336,1420072,2595988,0.710036,1.297994
337,2820080,1515768,1.41004,0.757884
338,1843894,2596782,0.921947,1.298391
339,1670830,1656000,0.835415,0.828
340,1758440,1639100,0.87922,0.81955
341,2417644,2871864,1.208822,1.435932
342,1465300,1678186,0.73265,0.839093
343,2822286,1629290,1.411143,0.814645
344,1416270,2785978,0.708135,1.392989
345,3108266,1544520,1.554133,0.77226
346,1662134,2570256,0.831067,1.285128
347,1549596,1593034,0.774798,0.796517
348,1619048,1508486,0.809524,0.754243
349,2781352,2566262,1.390676,1.283131
350,1741916,1880044,0.870958,0.940022
351,1633704,1750816,0.816852,0.875408
352,2509328,2615312,1.254664,1.307656
353,1413616,1805392,0.706808,0.902696
354,2723586,1624248,1.361793,0.812124
355,1477868,1712028,0.738934,0.856014
356,1671372,2635264,0.835686,1.317632
357,2747536,1463626,1.373768,0.731813
358,1584024,2621342,0.792012,1.310671
359,2573858,1780544,1.286929,0.890272
360,1407412,1600018,0.703706,0.800009
361,1742030,1821914,0.871015,0.910957
362,2563034,2720150,1.281517,1.360075
363,1632748,1513272,0.816374,0.756636
364,2589372,2820470,1.294686,1.410235
365,1433034,1725568,0.716517,0.862784
366,2763890,1676810,1.381945,0.838405
367,1500666,1660206,0.750333,0.830103
368,1597750,2864702,0.798875,1.432351
369,2758084,1543990,1.379042,0.771995
370,1549986,1498094,0.774993,0.749047
371,1537894,2736814,0.768947,1.368407
372,2778226,1631180,1.389113,0.81559
373,1404456,1633852,0.702228,0.816926
374,2468140,2766268,1.23407,1.383134
375,1600528,1663800,0.800264,0.8319
376,2990976,1654722,1.495488,0.827361
377,1725964,2664672,0.862982,1.332336
378,1894140,1583252,0.94707,0.791626
379,1689040,1680234,0.84452,0.840117
380,1828684,2696280,0.914342,1.34814
381,1784552,1557152,0.892276,0.778576
382,2982924,2535674,1.491462,1.267837
383,1941530,1796054,0.970765,0.898027
384,1563376,1651736,0.781688,0.825868
385,1511932,2587430,0.755966,1.293715
386,2792498,1541704,1.396249,0.770852
387,1590410,2744210,0.795205,1.372105
388,1768192,1399972,0.884096,0.699986
389,2648262,1503782,1.324131,0.751891
390,1907986,2868102,0.953993,1.434051
391,1593276,1540980,0.796638,0.77049
392,1601952,1599506,0.800976,0.799753
393,2838044,2750798,1.419022,1.375399
394,1625388,1452624,0.812694,0.726312
395,1511180,2536798,0.75559,1.268399
396,2379160,1691178,1.18958,0.845589
397,1457806,1576094,0.728903,0.788047
398,2967688,2738612,1.483844,1.369306
399,1740970,1645700,0.870485,0.82285
400,1678724,2543008,0.839362,1.271504
401,2724938,1482920,1.362469,0.74146
402,2046388,2453524,1.023194,1.226762
403,1739846,1631302,0.869923,0.815651
404,1789570,1441306,0.894785,0.720653
405,1940330,2711568,0.970165,1.355784
406,1755694,1632626,0.877847,0.816313
407,1823692,2576164,0.911846,1.288082
408,2802638,1336438,1.401319,0.668219
409,1546776,2857218,0.773388,1.428609
410,1694790,1575746,0.847395,0.787873
411,2659920,1366782,1.32996,0.683391
412,1535104,2734496,0.767552,1.367248
413,1703306,1643046,0.851653,0.821523
414,2891116,1914584,1.445558,0.957292
415,1555564,1817440,0.777782,0.90872
416,1666180,2803722,0.83309,1.401861
417,2684756,1528860,1.342378,0.76443
418,1449118,1592872,0.724559,0.796436
419,2560366,3041948,1.280183,1.520974
420,1571656,1637734,0.785828,0.818867
421,2707110,1686992,1.353555,0.843496
422,1581942,2543010,0.790971,1.271505
423,1666364,1640724,0.833182,0.820362
424,2586934,1577470,1.293467,0.788735
425,1500112,2805846,0.750056,1.402923
426,1552734,1594384,0.776367,0.797192
427,2490894,1593380,1.245447,0.79669
428,1587538,2694082,0.793769,1.347041
429,3268934,1587162,1.634467,0.793581
430,2049538,1671550,1.024769,0.835775
431,1655564,2560840,0.827782,1.28042
432,1720276,1341200,0.860138,0.6706
433,1579878,2972480,0.789939,1.48624
434,1701994,1708252,0.850997,0.854126
435,3384200,1564240,1.6921,0.78212
436,1665466,2561612,0.832733,1.280806
437,1846262,1801990,0.923131,0.900995
438,2203570,1572026,1.101785,0.786013
439,1766120,2565714,0.88306,1.282857
440,1958110,1809034,0.979055,0.904517
441,1614560,1540212,0.80728,0.770106
442,1722026,2623340,0.861013,1.31167
443,2699952,1572544,1.349976,0.786272
444,1791836,2910320,0.895918,1.45516
445,1881464,1631292,0.940732,0.815646
446,1704412,1782760,0.852206,0.89138
447,1731170,1629708,0.865585,0.814854
448,2847604,1628832,1.423802,0.814416
449,1701104,3093290,0.850552,1.546645
450,1925990,1862962,0.962995,0.931481
451,1744704,1718976,0.872352,0.859488
452,1836958,1920394,0.918479,0.960197
453,2923318,1584006,1.461659,0.792003
454,1729770,2691132,0.864885,1.345566
455,1973456,1563270,0.986728,0.781635
456,1569458,1980554,0.784729,0.990277
457,1746842,1785366,0.873421,0.892683
458,3080446,2854970,1.540223,1.427485
459,1711656,1710054,0.855828,0.855027
460,1614078,1683788,0.807039,0.841894
461,1473880,1532006,0.73694,0.766003
462,2637304,2856530,1.318652,1.428265
463,1510056,1401020,0.755028,0.70051
464,2478820,3032544,1.23941,1.516272
465,1383046,1729348,0.691523,0.864674
466,2925344,1476404,1.462672,0.738202
467,1537382,2587648,0.768691,1.293824
468,1543834,1875658,0.771917,0.937829
469,2660178,1785104,1.330089,0.892552
470,1639820,1528152,0.81991,0.764076
471,2744770,2773432,1.372385,1.386716
472,1553418,1778050,0.776709,0.889025
473,1465712,1636236,0.732856,0.818118
474,2831002,1635872,1.415501,0.817936
475,1511718,2685716,0.755859,1.342858
476,1589246,1543410,0.794623,0.771705
477,2729258,2706850,1.364629,1.353425
478,1772448,1611526,0.886224,0.805763
479,1792512,2436146,0.896256,1.218073
480,2778988,1621110,1.389494,0.810555
481,1734914,1576840,0.867457,0.78842
482,1931976,2859502,0.965988,1.429751
483,1778166,1590304,0.889083,0.795152
484,1596390,1622226,0.798195,0.811113
485,2774268,2756134,1.387134,1.378067
486,1398188,1657272,0.699094,0.828636
487,2555962,1579868,1.277981,0.789934
488,1786920,2546730,0.89346,1.273365
489,1467970,1505424,0.733985,0.752712
490,2029992,2911814,1.014996,1.455907
491,2606814,1622568,1.303407,0.811284
492,1629930,1470194,0.814965,0.735097
493,1678730,1667508,0.839365,0.833754
494,2875008,2790776,1.437504,1.395388
495,1457782,1637852,0.728891,0.818926
496,2616548,1544774,1.308274,0.772387
497,1466148,2765228,0.733074,1.382614
498,2608462,1491808,1.304231,0.745904
499,1752632,2710908,0.876316,1.355454
500,1886050,1824992,0.943025,0.912496
501,1810354,1593610,0.905177,0.796805
502,1887820,1671138,0.94391,0.835569
503,1735372,2892260,0.867686,1.44613
504,2703754,1870074,1.351877,0.935037
505,1660158,1523800,0.830079,0.7619
506,1694686,2577266,0.847343,1.288633
507,2962716,1667182,1.481358,0.833591
508,2059156,1707536,1.029578,0.853768
509,1924612,2803220,0.962306,1.40161
510,1518996,1703978,0.759498,0.851989
511,1412170,1688220,0.706085,0.84411
